concessionario;nome_commerciale;num_ticket;ticket_calcolati;ticket_esclusi_incompatibili;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;somma_importo_pagato;somma_vincita_potenziale;somma_valore_atteso
WILLIAMHILL;WWW.WILLIAMHILL.IT;9229;9229;0;998;1;0;8230;0;218048,35;5265502,92;216113,601452
DOMUSBET;WWW.DOMUSBET.IT;9434;9434;0;616;0;2;8816;0;194277,7;4781081,71;191785,652161
STANLEYBET;WWW.STANLEYBET.IT;5069;5069;0;669;1;1;4398;0;149449,65;3349396,45;147404,897189
STARCASINO;WWW.BETSSON.IT;6463;6463;0;728;0;0;5735;0;146302,75;3578442,52;143334,486345
SPORTBET;SPORTBET.IT;3211;3211;0;481;0;1;2729;0;70398,05;2376165,53;69039,048039
ADMIRAL;WWW.ADMIRALBET.IT;2223;2222;1;419;0;0;1803;1;49528,55;2395102,25;48790,201967
MARATHON;WWW.MARATHONBET_PVR.IT;2018;2018;0;319;1;5;1693;0;46418,2;2725715,23;44788,453806
STARCASINO;WWW.STARCASINO.IT;1708;1708;0;313;2;4;1389;0;38129,4;877417,92;37329,878202
360BET;360BET.IT;533;533;0;104;0;0;429;0;26258,05;380820,25;26020,719955
BBET;WWW.BBET.EU;1504;1504;0;262;0;0;1242;0;24131,15;1665329,45;23697,773902
MARATHON;WWW.MARATHONBET_TIPSTER.IT;842;842;0;52;0;0;790;0;22519,05;218532,96;22324,872547
MARATHON;MARATHONBET.IT;520;520;0;87;0;0;433;0;15665,95;549362,51;15274,822475
BBET;WWW.BGAME.IT;793;792;1;135;0;0;657;1;13823,0;743283,81;13427,013958
BBET;WWW.TOPBET24.IT;503;503;0;85;0;0;418;0;13092,35;556908,01;12932,433045
TOTOSI;WWW.TOTOSI.IT;667;667;0;159;0;1;507;0;12635,95;853250,71;12278,621699
ADMIRAL;FAENZA MENGOLINA;276;276;0;13;0;0;263;0;11125,35;319397,0;11042,493888
ADMIRAL;BOLOGNA CARRACCI;274;274;0;26;0;0;248;0;10265,45;594854,21;10116,506235
ADMIRAL;ROMA GAI;206;206;0;15;0;0;191;0;10136,0;150838,53;10084,546105
ADMIRAL;ROMA CASILINA;165;165;0;26;0;0;139;0;10443,2;380133,75;10034,125367999999
BBET;WWW.ALLINBET.EU;601;601;0;87;1;0;513;0;9093,1;769635,0599999999;8905,168117
SPORTBET;WWW.VSTART.IT;537;537;0;1;0;0;536;0;8867,2;230015,11000000002;8386,027897
ADMIRAL;MONTEMURLO LABRIOLA;130;130;0;8;0;0;122;0;7486,1;171733,5;7148,108768
ADMIRAL;RIMINI ITALIA;205;205;0;24;0;0;181;0;5706,5;550343,2000000001;5578,424946
ADMIRAL;VICENZA CRISPI;111;111;0;16;0;0;95;0;5284,6;82338,57;5280,175461
ADMIRAL;FUCECCHIO DANTE;379;379;0;56;0;0;323;0;5369,45;488713,06;5063,701923
ADMIRAL;MISANO ADRIATICO ADRIATICA;180;180;0;5;0;0;175;0;4648,2;622729,14;4674,350031
ADMIRAL;WWW.STARVEGAS.IT;269;269;0;31;0;0;238;0;4467,85;143076,82;4403,554293
ADMIRAL;PERO CURIEL;93;93;0;9;0;0;84;0;3871,5;63109,8;3872,467153
ADMIRAL;MILANO LOMAZZO;16;16;0;0;0;0;16;0;3854,0;22974,0;3852,000148
ADMIRAL;VALMONTONE GENAZZANO;89;89;0;20;0;0;69;0;3501,8;145689,48;3352,67933
BBET;WWW.SPORTBULL.IT;295;295;0;46;0;0;249;0;3308,75;306609,54;3307,349628
ADMIRAL;PINETO LIVORNO;155;155;0;11;0;0;144;0;3563,0;135029,26;3208,491503
ADMIRAL;PESCANTINA BRENNERO;104;104;0;14;0;0;90;0;3099,5;182987,13;2966,5463
ADMIRAL;BRA VERDI;177;177;0;16;0;0;161;0;2903,6;126872,7;2907,778967
ADMIRAL;POGGIBONSI TRENTO;248;248;0;17;0;0;231;0;2953,05;474267,77;2875,986311
ADMIRAL;ASTI PETRARCA;91;91;0;2;0;0;89;0;2570,0;30955,97;2557,331744
ADMIRAL;CHIARAVALLE MATTEOTTI;99;99;0;7;0;0;92;0;2527,5;43973,44;2513,671662
ADMIRAL;CAZZAGO SAN MARTINO PERTINI;61;61;0;8;0;0;53;0;2433,8;40129,28;2416,807876
ADMIRAL;NAPOLI VESPUCCI;27;27;0;4;0;0;23;0;2411,0;23044,61;2394,776772
ADMIRAL;ANCONA MONTEBELLO;34;34;0;0;0;0;34;0;2490,25;40402,69;2370,10401
ADMIRAL;COGORNO IV NOVEMBRE;55;55;0;6;0;0;49;0;2089,0;97010,23;2041,476754
ADMIRAL;ANCONA FLAMINIA;84;83;1;4;0;0;79;1;1976,7;167378,54;1972,289283
ADMIRAL;SAN GIOVANNI TEATINO SALARA;16;16;0;0;0;0;16;0;1915,0;14562,72;1914,999964
ADMIRAL;CAMPI BISENZIO BARBERINESE;100;100;0;5;0;0;95;0;1860,85;98116,76;1750,572922
SPORTBET;WWW.BETX.IT;56;56;0;0;0;0;56;0;1683,5;21173,07;1671,890575
ADMIRAL;ROVIGO EINAUDI;133;133;0;9;0;0;124;0;1610,1;295980,49;1561,643885
ADMIRAL;TRENTO MACCANI;75;75;0;8;0;0;67;0;1576,5;135589,95;1556,399921
ADMIRAL;LISSONE DE AMICIS;85;85;0;3;0;0;82;0;1584,3;70684,16;1533,5981649999999
ADMIRAL;TRENTOLA DUCENTA UNITA'' D''ITALIA;30;30;0;1;0;0;29;0;1448,0;16446,28;1424,8531229999999
ADMIRAL;URGNANO ROMA;50;50;0;1;0;0;49;0;1388,85;34454,89;1385,14229
