iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
1;14186;7;5604080,83
2;13006;7;5007375,07
3;13575;7;5187672,58
4;12394;7;4713869,41
5;15473;7;6386596,5
6;12900;7;5479195,91
7;13965;7;4322029,37
8;12840;7;4802077,63
9;12939;7;5012638,75
10;13678;7;4935653,03
11;13705;7;5753362,98
12;14844;7;6423393,92
13;11730;7;4051213,69
14;12816;7;4899283,35
15;13457;7;5267153,28
16;12540;7;5159298,26
17;13422;7;5176061,13
18;12947;7;5218833,69
19;12037;7;4993995,43
20;13731;7;5818099,39
21;12210;7;4706057,53
22;13268;7;4504978,64
23;12846;7;6255790,91
24;13218;7;4637653,32
25;12963;7;4751109,01
26;12498;7;5125408,48
27;12955;7;4690897,64
28;13065;7;5374698,52
29;12233;7;4539925,08
30;13505;7;5895025,48
31;13761;7;4829799,37
32;13997;7;5342922,33
33;12922;7;5453087,79
34;13568;7;4982152,19
35;14078;7;6515923,78
36;12734;7;4371434,81
37;13502;7;6241791,63
38;12890;7;5069340,54
39;13586;7;6293379,8
40;13310;7;4774067,25
41;14087;7;5364948,48
42;13298;7;4901866,28
43;13622;7;5414882,95
44;13898;7;5076008,19
45;12638;7;5058694,92
46;12700;7;4459478,29
47;13293;7;6460783,04
48;14448;7;6202290,19
49;11261;7;4845257,99
50;14487;7;5085401,51
51;13302;7;5359593,5
52;12835;7;4579340,12
53;12654;7;5171511,04
54;14017;7;4966856,38
55;13115;7;5315196,76
56;12458;7;4588893,29
57;13795;7;4981355,99
58;12550;7;4504365,12
59;13744;7;5049096,98
60;12524;7;5343277,04
61;13009;7;5294060,81
62;13776;7;5594409,74
63;12865;7;5532128,9
64;14143;7;5858914,58
65;13152;7;5007784,49
66;12600;7;5241211,57
67;13509;7;5532925,9
68;12841;7;5896096,55
69;12997;7;5244275,7
70;12905;7;4803759,37
71;11882;7;4831171,24
72;14574;7;5342278,41
73;12098;7;4121213,46
74;13219;7;6569357,28
75;14020;7;5380391,6
76;12937;7;4968920,4
77;13211;7;5401395,78
78;13099;7;6106333,28
79;13380;7;4639943,54
80;12922;7;5511698,97
81;13074;7;5507994,73
82;13908;7;5698498,75
83;13155;7;4900982,55
84;12588;7;4679329,93
85;12595;7;6136648,72
86;12516;7;4156231,65
87;13370;7;5658112,16
88;13248;7;5967148,66
89;13553;7;5409624,22
90;12540;7;5612423,64
91;13333;7;4749163,48
92;12935;7;4906285,45
93;14208;7;5033911,44
94;13457;7;5200376,07
95;13464;7;4309788,6
96;13026;7;5795762,61
97;13289;7;4734920,46
98;12285;7;5927568,58
99;12634;7;5198942,64
100;13677;7;5302253,52
101;14067;7;5336522,79
102;13871;7;5180489,59
103;12900;7;4638086,73
104;14648;7;6796571,42
105;12643;7;4846152,61
106;13194;7;4908779,82
107;12645;7;5103634,79
108;13151;7;4799390,19
109;12846;7;5230577,38
110;11182;7;4774633,62
111;13514;7;5947222,1
112;11567;7;4698506,65
113;12512;7;4767032,78
114;13661;7;5069862,39
115;13058;7;4806616,59
116;13165;7;5434869,19
117;12178;7;5151143,53
118;13900;7;6159361,26
119;13251;7;5875572,87
120;14821;7;6800887,83
121;13787;7;5887970,07
122;12982;7;5614602,09
123;13386;7;5215787,74
124;12979;7;4982157,11
125;13982;7;6310159,39
126;12867;7;5819201,0
127;12887;7;4233510,57
128;13115;7;5037731,07
129;13101;7;6093061,45
130;13091;7;5306515,59
131;13296;7;4872648,73
132;14056;7;5607720,65
133;13871;7;5616707,38
134;12885;7;6070466,71
135;13360;7;5330652,18
136;12883;7;4929329,84
137;14781;7;6007847,7
138;12728;7;4539410,22
139;13269;7;4499893,68
140;13285;7;5285039,15
141;13207;7;5931173,02
142;13164;7;5934234,63
143;13271;7;5670131,91
144;12163;7;4129540,98
145;12233;7;5084629,87
146;12887;7;5277406,14
147;14319;7;5255727,38
148;12465;7;4922143,97
149;13184;7;4982939,34
150;13565;7;5947887,37
151;12530;7;5110613,08
152;13103;7;4903964,82
153;12829;7;5835713,44
154;13764;7;6201429,34
155;13525;7;5206096,23
156;13903;7;5203838,45
157;13022;7;4727110,26
158;13220;7;6125734,3
159;12577;7;5905657,61
160;12409;7;4830598,92
161;13026;7;4977876,8
162;13686;7;6144367,94
163;14495;7;6241803,36
164;13156;7;5719409,4
165;13036;7;4676991,31
166;13553;7;5626221,37
167;12926;7;5041428,51
168;12968;7;6424706,05
169;11540;7;4494705,82
170;12319;7;5271560,77
171;12458;7;4829486,81
172;14026;7;5164008,75
173;13624;7;5707057,36
174;12634;7;4539934,54
175;13742;7;6147677,16
176;12601;7;4042073,25
177;13975;7;6228750,4
178;13026;7;5188465,29
179;12142;7;5199923,76
180;14451;7;5540136,45
181;14727;7;6687428,31
182;12952;7;6319203,28
183;13015;7;4976615,82
184;13074;7;5264328,86
185;12606;7;4149413,26
186;12865;7;4612376,03
187;12961;7;4760039,75
188;12615;7;5451528,33
189;14583;7;5601512,8
190;12335;7;5752932,71
191;12639;7;4917796,76
192;13265;7;5386329,83
193;13948;7;4973570,06
194;12753;7;4508176,58
195;13347;7;4991470,43
196;13198;7;4707132,61
197;13492;7;5552425,6
198;12390;7;4170721,26
199;12562;7;5272398,91
200;12422;7;4486259,27
201;12985;7;5329503,86
202;12260;7;4974837,09
203;13663;7;4798332,41
204;12947;7;4421528,64
205;13021;7;6358630,38
206;13712;7;5418581,22
207;13237;7;6041632,17
208;12733;7;5103197,29
209;12803;7;5808077,82
210;13650;7;4691760,38
211;13810;7;5247044,23
212;12538;7;5739523,82
213;12744;7;5373028,51
214;13821;7;5379694,48
215;11978;7;4559426,36
216;13190;7;4797350,74
217;12531;7;5294306,18
218;12041;7;4116040,17
219;13424;7;4642530,93
220;13893;7;6306820,76
221;12311;7;4357238,68
222;12258;7;4190640,72
223;13232;7;5109588,37
224;13968;7;5448314,06
225;12920;7;4855731,89
226;11580;7;3913847,59
227;13252;7;4636791,23
228;12903;7;5093774,62
229;12762;7;4382885,78
230;12833;7;4954246,49
231;13242;7;5265061,92
232;13788;7;5733345,44
233;13288;7;5076009,28
234;13239;7;4860119,33
235;13541;7;5327926,79
236;13897;7;6794299,72
237;13213;7;6019035,45
238;12361;7;4376913,56
239;13420;7;5277261,96
240;13348;7;6011462,62
241;14347;7;5373596,39
242;13982;7;5456541,57
243;13897;7;5633623,66
244;13927;7;5253178,06
245;14369;7;5738238,03
246;12869;7;5239530,21
247;12865;7;5116421,0
248;13157;7;4385577,59
249;14272;7;5665844,76
250;12970;7;5257088,9
251;11916;7;4877104,63
252;14526;7;4960203,65
253;12196;7;3939208,46
254;14087;7;5957886,75
255;12540;7;4904569,87
256;13906;7;5920844,94
257;13355;7;4990918,03
258;13719;7;6908879,09
259;14152;7;5524564,51
260;13743;7;6340635,04
261;13512;7;5996755,29
262;13273;7;4814396,89
263;13161;7;4453882,16
264;13142;7;5391698,9
265;14208;7;5343546,37
266;13560;7;5535969,5
267;13589;7;6012205,45
268;14727;7;5939485,03
269;12773;7;5498936,08
270;13243;7;4778942,46
271;12860;7;4730247,42
272;13986;7;5431669,14
273;12929;7;4632505,99
274;12443;7;4609847,76
275;13106;7;4577387,84
276;13837;7;6157835,78
277;13488;7;5594543,13
