concessionario;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita
WILLIAMHILL;778796,11761;770855,2150000001;973295,001;1036041,047;1158144,0894;1297159,74;2582,618;4516;0
ADMIRAL;617099,80915;609393,11;798334,317;874344,8134999998;971931,9291;1140347,62;1650,827;2725;0
STANLEYBET;569007,24751;547028,355;762159,865;812124,378;925122,1593999999;1012695,89;1490,63;2576;0
DOMUSBET;559767,10428;556958,8049999999;692417,525;732821,092;799801,3523;891936,8;3072,908;4192;1
STARCASINO;409492,97808;401376,045;510508,0;540653,3724999998;596774,0495000001;676596,88;2014,867;3088;0
SPORTBET;282356,82872000005;277937,45;365375,211;391430,80749999994;440086,1006;512886,36;922,046;1361;0
MARATHON;292964,58132999996;288211,11;359409,489;377546,136;419986,6288;503879,59;813,246;1235;0
BBET;196330,45488;188147,445;263146,54000000004;285849,9765;348724,87879999995;438252,87;724,291;1185;1
360BET;45709,61449;43179,315;75861,819;84584,36699999998;105016,85999999997;149189,31;238,058;328;0
TOTOSI;26202,80943;24510,345;39264,016;43946,5125;53335,74309999999;72769,62;143,399;230;0
