concessionario;nome_commerciale;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita
WILLIAMHILL;WWW.WILLIAMHILL.IT;406917,51675;400661,22;433602,727;455299,7119999999;574648,1900999999;917350,08;631,38;768;0
STANLEYBET;WWW.STANLEYBET.IT;200390,549;166610,775;350720,9220000002;403570,866;467932,07540000003;588523,01;212,453;279;0
DOMUSBET;WWW.DOMUSBET.IT;138203,72575;130217,405;226648,659;278966,0745;320986,6863999999;387419,64;821,591;1585;0
STARCASINO;WWW.BETSSON.IT;144327,61369;134163,255;184361,114;202919,462;227545,50350000002;245434,56;553,471;643;0
MARATHON;WWW.MARATHONBET_PVR.IT;33224,69692;21931,98;68648,35200000003;109850,41749999997;147231,4283;268220,08;96,725;147;0
ADMIRAL;WWW.ADMIRALBET.IT;51714,748530000004;63981,81;84201,235;91585,23599999999;108860,61589999998;191285,01;150,614;224;0
SPORTBET;SPORTBET.IT;28591,036030000003;25063,18;38705,748;58827,63249999997;82605,29019999999;108241,56;190,951;247;0
SPORTBET;WWW.VSTART.IT;51188,40466000001;51068,200000000004;52186,08;52604,200000000004;53125,665;53295,54;9,64;16;0
BBET;WWW.SOCIALGAME24.IT;5289,25497;3031,225;4218,375;50617,003999999986;57469,7607;62708,67;3,342;19;0
ADMIRAL;BRA VERDI;6469,6112;302,36;50002,36;50302,36;51711,0828;52083,19;3,213;8;0
ADMIRAL;ANCONA FLAMINIA;23478,255350000003;39074,79;40042,645;40302,4025;40814,302;43979,21;5,051;19;0
BBET;WWW.BBET.EU;14825,564779999999;12198,33;23534,090000000004;34963,31499999997;61753,410099999994;117795,73;71,282;114;0
MARATHON;WWW.MARATHONBET_TIPSTER.IT;20666,87235;19291,655;31180,069;34709,04349999999;40561,99;52883,92;169,86;330;0
ADMIRAL;MONTEMURLO LABRIOLA;17292,04029;17266,195;27076,175;30240,1675;35294,1179;45490,03;9,983;26;0
STARCASINO;WWW.STARCASINO.IT;18983,751;16611,835;24802,588000000003;29518,94849999999;67536,68899999998;207728,69;91,942;126;0
BBET;WWW.ALLINBET.EU;9687,27657;7185,375;21843,493000000002;24634,7325;33462,0252;39194,91;22,706;41;0
ADMIRAL;BOLOGNA CARRACCI;12165,00005;10047,425;17016,625;20170,050499999998;91355,27990000001;102293,27;9,037;22;0
BBET;WWW.TOPBET24.IT;9954,922470000001;8446,915;16653,621;19906,814;30224,93709999998;104563,37;34,85;55;0
TOTOSI;WWW.TOTOSI.IT;8362,2776;6472,055;12794,993000000002;18411,28649999997;43694,144199999995;75711,09999999999;114,722;155;0
BBET;WWW.SPORTBULL.IT;7608,27921;4550,93;16773,245000000003;17480,101;21460,084199999994;31196,54;6,3;16;0
ADMIRAL;FAENZA MENGOLINA;10144,650109999999;12887,54;14454,402;16262,6885;47219,129100000006;307761,68;15,256;28;0
BBET;WWW.BGAME.IT;8371,80067;7154,355;12515,135;15247,571499999996;40423,3947;58165,63;46,61;71;0
MARATHON;MARATHONBET.IT;9437,24787;9159,919999999998;11792,074;12580,279499999999;14974,0321;19773,670000000002;165,293;202;0
ADMIRAL;FUCECCHIO DANTE;4378,521320000001;3185,9700000000003;9436,679;12453,101499999995;23250,522;89068,15;13,552;31;0
ADMIRAL;MISANO ADRIATICO ADRIATICA;5157,7733499999995;3593,8549999999996;10501,920000000002;11577,895499999999;14693,271399999989;23948,54;8,942;27;0
360BET;360BET.IT;7965,68359;7875,21;9517,717;10093,826;11218,653;12739,85;182,323;225;0
ADMIRAL;ANCONA MONTEBELLO;2803,1340800000003;1400,0;8150,0;9750,0;12450,0;20600,0;1,987;12;0
ADMIRAL;VALMONTONE GENAZZANO;4133,86084;2638,1600000000003;6093,25;8148,065999999998;25054,767399999986;27546,89;4,647;9;0
ADMIRAL;SAN GIOVANNI TEATINO SALARA;743,82;0,0;1500,0;7500,0;7500,0;9000,0;0,517;6;0
ADMIRAL;RIMINI ITALIA;2412,39529;859,7450000000001;3657,648000000004;5969,932;43385,96009999993;135154,74;7,163;20;0
ADMIRAL;WWW.STARVEGAS.IT;3522,60598;3511,38;5419,9980000000005;5897,652;7923,619699999995;18872,59;25,195;43;0
ADMIRAL;POGGIBONSI TRENTO;1420,81644;678,905;2630,0360000000005;4229,0869999999995;7039,4465;94130,98999999999;4,017;11;0
ADMIRAL;VERONA ALBERE;1276,81645;52,37;953,3399999999999;4224,07;32889,280000000006;37949,22;1,322;5;0
ADMIRAL;PORTO VIRO ROSSINI;638,6369900000001;4,35;245,78;4202,21199999996;16661,275;21808,97;0,746;5;0
ADMIRAL;SULMONA OVIDIO;2133,18148;3359,76;3827,1200000000003;4101,9400000000005;4569,3;4882,58;1,123;6;0
ADMIRAL;PERO CURIEL;1284,49494;761,83;2983,5209999999997;4040,2974999999983;8373,215199999999;30756,83;2,08;9;0
ADMIRAL;ROMA GAI;3082,9645800000003;2989,32;3484,155;4020,7200000000003;5716,9603;6158,759999999999;6,066;13;0
ADMIRAL;SAVONA SERVETTAZ;766,06049;0,0;2517,48;3582,79;4999,783699999998;39450,35;0,69;6;0
ADMIRAL;GENOVA P. DORIA;1170,24029;447,41999999999996;1611,767000000001;2977,4639999999945;11981,112799999999;75191,4;3,085;12;0
ADMIRAL;ROMA CASILINA;1973,6043699999998;1659,9499999999998;2689,95;2864,74;6365,79;7570,58;6,594;10;0
ADMIRAL;FERRARA MODENA;741,6306999999999;240,31;1527,5840000000003;2775,448999999999;5387,133;46662,68;1,239;9;0
ADMIRAL;TERNI CHIESA;1385,59555;406,71999999999997;1608,2800000000004;2687,0899999999997;27273,06;44402,32;2,251;8;0
ADMIRAL;LAVAGNA BATTISTI;1344,9315100000001;1299,8;1726,638000000001;2325,370499999999;2582,7200000000003;7808,58;7,793;12;0
ADMIRAL;CASALE CORTE CERRO NOVARA;479,12035;90,0;1571,47;2300,75;2968,5295999999994;48604,81;1,005;5;0
ADMIRAL;CHIARAVALLE MATTEOTTI;737,84826;566,25;1309,94;1895,32;2015,9179999999997;2843,67;2,834;7;0
ADMIRAL;GROSSETO AQUILEIA;529,54782;293,87;1220,2440000000001;1827,63;4892,909699999992;6667,929999999999;2,186;7;0
ADMIRAL;VIGONZA VENEZIA;354,47434999999996;148,25;1136,72;1808,2439999999983;3421,564399999989;9426,8;1,164;6;0
ADMIRAL;ROVIGO EINAUDI;579,1168299999999;106,905;1238,25;1540,31;8002,039;50620,420000000006;3,459;10;0
ADMIRAL;ROMA MASSAIA;249,0;0,0;1500,0;1500,0;1500,0;1500,0;0,166;1;0
ADMIRAL;CAMPI BISENZIO BARBERINESE;408,94078;103,22999999999999;1143,7140000000002;1484,9204999999993;3593,69;8893,880000000001;1,56;6;0
ADMIRAL;CAIANELLO CERASELLE;280,64860999999996;71,31;867,7370000000003;1450,72;2664,750399999999;5403,2;1,685;9;0
ADMIRAL;PESCANTINA BRENNERO;316,22645;11,87;434,5810000000003;1448,68;1653,48;34308,09;0,712;7;0
BBET;WWW.DNGAMES.IT;467,89752999999996;25,08;850,91;1407,9699999999998;8890,947199999995;17271,18;0,791;4;0
ADMIRAL;TORRE DEL GRECO PALOMBA;161,15264000000002;0,0;0,0;1226,44;4308,84;4308,84;0,086;2;0
ADMIRAL;CASTELLETTO SOPRA TICINO SEMPIONE;1098,04778;0,0;100,0;1005,0524999999245;28497,960000000003;94716,36;0,204;5;0
SPORTBET;WWW.BETX.IT;561,3225;485,3;828,8000000000008;997,8;1097,8;1285,3;2,784;6;0
ADMIRAL;POGGIOMARINO LOSCO;305,13928000000004;27,5;544,6470000000002;957,4300000000001;3078,224299999999;32665,690000000002;1,665;10;0
ADMIRAL;VILLA LITERNO DEI MILLE;291,85373;0,0;579,9200000000001;856,5324999999992;6483,94;7356,8099999999995;0,71;6;0
ADMIRAL;VICENZA PADANA SUPERIORE;485,04382;24,18;631,62;836,8104999999998;4449,18;88267,26;0,79;5;0
ADMIRAL;PARMA LEPIDO;252,8949;266,5;292,39;826,7;1751,63;15210,57;0,768;3;0
ADMIRAL;VICENZA CRISPI;313,76935;190,0;304,08;783,4839999999998;5250,9388;14125,609999999999;1,136;5;0
ADMIRAL;GUALDO TADINO FLAMINIA;231,35614999999999;0,0;695,3499999999999;695,3499999999999;833,5828999999999;1111,4;0,988;5;0
ADMIRAL;TEVEROLA CARINARO;127,40562000000001;0,0;303,8;652,49;956,6236999999996;1634,91;0,466;3;0
ADMIRAL;PINETO LIVORNO;137,01209;59,66;387,11999999999995;611,3569999999994;1417,249199999999;2989,11;0,877;5;0
ADMIRAL;CAZZAGO SAN MARTINO PERTINI;156,90195;50,0;378,49900000000025;587,87;988,52;17872,5;0,641;3;0
BBET;WWW.MINNIEBET.EU;275,34459999999996;72,465;408,205;562,7434999999996;5307,815899999998;10574,84;5,634;14;0
ADMIRAL;NAPOLI VESPUCCI;592,31499;0,0;380,53;555,56;6242,29;82508,87;0,574;8;0
ADMIRAL;MARTINSICURO COLOMBO;64,13204;0,0;221,37;493,76;747,22;1129,6799999999998;0,166;3;0
ADMIRAL;PARTANNA PALERMO;94,15822;0,0;486,83;486,83;1621,05;18056,460000000003;0,137;2;0
ADMIRAL;CASCIA ROMA;103,25564;62,5;201,0470000000004;450,4089999999998;884,38;1165,93;1,154;7;0
ADMIRAL;SALERNO POSIDONIA;39,22324;0,0;6,1;440,06;741,14;1087,02;0,292;3;0
ADMIRAL;TRENTO MACCANI;162,51254999999998;19,08;338,82;417,60999999999996;531,9782999999993;18334,370000000003;0,711;5;0
ADMIRAL;GALATONE NIZZA;195,23344999999998;278,33;411,53;411,53;589,7425999999994;1162,16;0,765;3;0
ADMIRAL;FONDI SAN MAGNO;74,27468;0,0;256,0;355,93;419,69;563,69;0,599;3;0
ADMIRAL;LONATO MANTOVA;41,083769999999994;0,0;0,0;342,94;628,03;1329,45;0,096;2;0
ADMIRAL;ROMA GREGOROVIUS;189,43721999999997;330,03;330,03;330,03;330,03;330,03;0,574;1;0
ADMIRAL;CREVOLADOSSOLA SEMPIONE;92,28545;50,64;253,0;301,77;412,0418;511,42;1,252;5;0
ADMIRAL;PESCARA PEPE;175,95990000000003;0,0;138,0;300,0;3758,51;4149,8;0,781;7;0
ADMIRAL;FIDENZA PERTINI;118,19778;0,0;233,92;299,5074999999995;532,86;44902,14;1,065;5;0
ADMIRAL;STRIANO SARNO;26,788310000000003;0,0;100,57;277,81;277,81;378,38;0,143;2;0
ADMIRAL;ROMA CAPITOLINO;100,13928999999999;54,35;144,25;269,7594999999994;1547,4904999999997;2117,89;2,81;8;0
BBET;WWW.SKILLJOY.EU;118,31587999999999;26,05;226,93;260,1;2132,4115999999995;10125,939999999999;0,656;3;0
ADMIRAL;MILANO POZZI;68,26099;0,0;250,81;250,81;990,0;4547,24;0,19;3;0
ADMIRAL;CIVITANOVA MARCHE SONNINO;43,81858999999999;0,0;218,29;218,29;425,19289999999995;433,28999999999996;0,203;2;0
ADMIRAL;PIEVE EMANUELE PINI;21,879459999999998;0,0;206,41;206,41;206,41;206,41;0,106;1;0
ADMIRAL;MILANO CUOCO;27,23037;0,0;193,67;193,67;373,68;567,35;0,109;2;0
ADMIRAL;NOCERA INFERIORE NOCERA;40,85354;0,0;140,0;185,79799999999094;679,14;1149,78;0,348;3;0
ADMIRAL;RIGNANO FLAMINIO FLAMINIA;24,5658;0,0;175,47;175,47;175,47;175,47;0,14;1;0
BBET;www.mbet.it;88,08691;0,0;84,0;173,41;2544,52;2717,93;0,476;3;0
ADMIRAL;NUORO MANNIRONI;45,01634000000001;0,0;102,36;126,20849999999945;1000,0;1137,96;0,53;3;0
ADMIRAL;TRENTOLA DUCENTA UNITA'' D''ITALIA;36,08786;0,0;125,21;125,21;225,45659999999765;603,77;0,3;2;0
ADMIRAL;SARNO ACQUAROSSA;22,68;0,0;120,0;120,0;120,0;120,0;0,189;1;0
ADMIRAL;GATTINARA MARCONI;23,62961;0,0;117,86;117,86;151,70999999999998;1117,86;0,229;2;0
BBET;WWW.UNIONSBET.IT;39,71275;0,0;103,15;103,15;103,15;103,15;0,385;1;0
ADMIRAL;BOVOLONE MADONNA;17,08252;0,0;30,0;81,89899999999899;125,28;522,5;0,467;2;0
ADMIRAL;GROTTAMMARE DALLA CHIESA;15,73934;0,0;70,58;70,58;70,58;70,58;0,223;1;0
ADMIRAL;COGORNO IV NOVEMBRE;159,65295;20,0;20,0;70,0;2809,17;8151,97;1,083;3;0
ADMIRAL;PIACENZA I MAGGIO;7,371;0,0;58,5;58,5;58,5;58,5;0,126;1;0
ADMIRAL;SPINETOLI DE GASPERI;6,7698;0,0;0,0;50,0;148,16;173,16;0,099;2;0
ADMIRAL;ROVERETO TRENTO;87,98;17,05;27,05;38,05;929,53;9225,07;2,615;7;0
ADMIRAL;MONSUMMANO TERME ABRUZZO;56,59771;4,2;4,2;34,2;1054,97;11004,2;1,081;3;0
ADMIRAL;MANZIANA BRACCIANESE CLAUDIA;7,73;0,0;15,0;27,5;27,5;27,5;0,543;2;0
ADMIRAL;VITERBO FALCONE E BORSELLINO;133,47966;0,0;25,0;25,0;5642,97;11384,52;0,41;2;0
ADMIRAL;BRESCIA TRENTO;16,90154;24,55;24,55;24,55;24,55;2490,69;0,588;1;0
