concessionario;nome_commerciale;id_evento;evento_descrizione;quota_media;quota_min;quota_max;prob_implicita_media;num_ticket_coinvolti;num_righe_evento;importo_pagato_esposto;payout_potenziale_esposto;payout_potenziale_massimo_ticket;ticket_esclusi_montecarlo;ticket_incompatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_compatibili;righe_esito_mappato;righe_esito_non_mappato;num_famiglie_matrice;num_esiti_matrice;payout_incompatibile;payout_non_mappato;payout_misto;payout_correlato;impatto_atteso_stimato;impatto_compatibilita_stimato;pct_ticket_esclusi_montecarlo;pct_ticket_non_mappati;pct_righe_esito_non_mappato;peso_pct_su_nome_commerciale;peso_pct_su_concessionario
360BET;360BET.IT;E557;CALCIO | ITALIA - COPPA | Torino - Carrarese Calcio 1908 | 1X2 | 1;1,403;1,38;1,41;0,712803;10;10;41,6;81124,99;44633,31;0;0;0;0;4;6;10;0;1;1;0,0;58452,52;0,0;0,0;57826,100626;11690,504;0,0;40,0;0,0;1,492942;1,492942
360BET;360BET.IT;E630;CALCIO | OLANDA - I DIVISIONE | Excelsior Rotterdam - PSV Eindhoven | U/O | OVER;1,34;1,34;1,34;0,746269;3;3;7,4;79571,62;44633,31;0;0;0;0;3;0;0;3;0;0;0,0;79571,62;0,0;0,0;59381,80597;15914,324;0,0;100,0;100,0;1,464356;1,464356
360BET;360BET.IT;E25;CALCIO | ARABIA S. - I DIVISIONE | Al Nassr Club - Al-Fateh SC | U/O | OVER;1,23;1,23;1,23;0,813008;2;2;3,4;79553,69;44633,31;0;0;0;0;2;0;0;2;0;0;0,0;79553,69;0,0;0,0;64677,796748;15910,738;0,0;100,0;100,0;1,464026;1,464026
360BET;360BET.IT;E568;CALCIO | ITALIA - COPPA | Udinese - Padova | 1X2 | 1;1,392222;1,36;1,48;0,718661;9;9;31,6;58902,93;44633,31;0;0;0;0;4;5;9;0;1;1;0,0;58452,52;0,0;0,0;42331,219663;11690,504;0,0;44,444444;0,0;1,08399;1,08399
360BET;360BET.IT;E378;CALCIO | GERMANIA - II DIVISIONE | Kaiserslautern - Karlsruhe | U/O | OVER;1,4125;1,14;1,51;0,718194;4;4;7,0;58810,63;34920,38;0;0;0;0;4;0;0;4;0;0;0,0;58810,63;0,0;0,0;42237,470587;11762,126;0,0;100,0;100,0;1,082291;1,082291
360BET;360BET.IT;E645;CALCIO | OLANDA - I DIVISIONE | Willem II - NEC Nimega | U/O | OVER;1,424;1,41;1,43;0,702269;5;5;11,0;58785,8;34920,38;0;0;0;0;5;0;0;5;0;0;0,0;58785,8;0,0;0,0;41283,472118;11757,16;0,0;100,0;100,0;1,081834;1,081834
360BET;360BET.IT;E663;CALCIO | OLANDA - III DIVISIONE | SV Spakenburg - VV Katwijk | U/O | OVER;1,41;1,41;1,41;0,70922;3;3;3,0;58754,5;34920,38;0;0;0;0;3;0;0;3;0;0;0,0;58754,5;0,0;0,0;41669,858156;11750,9;0,0;100,0;100,0;1,081258;1,081258
360BET;360BET.IT;E382;CALCIO | GERMANIA - III DIVISIONE | Fortuna Dusseldorf - TSG Hoffenheim II | U/O | OVER;1,43;1,43;1,43;0,699301;3;3;3,0;58754,5;34920,38;0;0;0;0;3;0;0;3;0;0;0,0;58754,5;0,0;0,0;41087,062937;11750,9;0,0;100,0;100,0;1,081258;1,081258
360BET;360BET.IT;E635;CALCIO | OLANDA - I DIVISIONE | Fortuna Sittard - Cambuur | U/O | OVER;1,48;1,48;1,48;0,675676;3;3;3,0;58754,5;34920,38;0;0;0;0;3;0;0;3;0;0;0,0;58754,5;0,0;0,0;39698,986486;11750,9;0,0;100,0;100,0;1,081258;1,081258
360BET;360BET.IT;E380;CALCIO | GERMANIA - II DIVISIONE | VfL 1899 Osnabruck - Magdeburgo | U/O | OVER;1,53;1,53;1,53;0,653595;3;3;6,0;58644,49;34920,38;0;0;0;0;3;0;0;3;0;0;0,0;58644,49;0,0;0,0;38329,732026;11728,898;0,0;100,0;100,0;1,079234;1,079234
360BET;360BET.IT;E655;CALCIO | OLANDA - III DIVISIONE | Jong Almere City FC - Rijnsburgse Boys | U/O | OVER;1,34;1,34;1,34;0,746269;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;43753,58209;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E384;CALCIO | GERMANIA - III DIVISIONE | SC Fortuna Cologne - Alemannia Aquisgrana | U/O | OVER;1,48;1,48;1,48;0,675676;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;39614,72973;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E650;CALCIO | OLANDA - II DIVISIONE | Volendam - TOP Oss | U/O | OVER;1,49;1,49;1,49;0,671141;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;39348,85906;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E651;CALCIO | OLANDA - III DIVISIONE | Amsterdamsche FC - VV Kloetinge | U/O | OVER;1,52;1,52;1,52;0,657895;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;38572,236842;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E502;CALCIO | INGHILTERRA - V DIVISIONE | Tamworth - AFC Fylde | U/O | OVER;1,53;1,53;1,53;0,653595;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;38320,130719;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E662;CALCIO | OLANDA - III DIVISIONE | Kozakken Boys Werkendam - IJsselmeervogels | U/O | OVER;1,53;1,53;1,53;0,653595;2;2;2,0;58629,8;34920,38;0;0;0;0;2;0;0;2;0;0;0,0;58629,8;0,0;0,0;38320,130719;11725,96;0,0;100,0;100,0;1,078964;1,078964
360BET;360BET.IT;E574;CALCIO | ITALIA - COPPA | Venezia - Modena | 1X2 | 1;1,52;1,52;1,52;0,657895;5;5;13,4;50432,69;44633,31;0;0;0;0;4;1;5;0;1;1;0,0;50327,62;0,0;0,0;33179,401316;10065,524;0,0;80,0;0,0;0,928112;0,928112
360BET;360BET.IT;E545;CALCIO | ITALIA - COPPA | Lazio - Mantova 1911 | 1X2 | 1;1,33625;1,31;1,34;0,748405;8;8;59,4;46827,48;44633,31;0;0;0;0;4;4;8;0;1;1;0,0;46337,08;0,0;0,0;35045,916515;9267,416;0,0;50,0;0,0;0,861766;0,861766
360BET;360BET.IT;E541;CALCIO | ITALIA - COPPA | Genoa - Ascoli | 1X2 | 1;1,43;1,43;1,43;0,699301;4;4;9,4;45748,96;44633,31;0;0;0;0;2;2;4;0;1;1;0,0;45393,3;0,0;0,0;31992,27972;9078,66;0,0;50,0;0,0;0,841918;0,841918
360BET;360BET.IT;E554;CALCIO | ITALIA - COPPA | Sassuolo Calcio - Cesena FC | 1X2 | 1;1,5;1,5;1,5;0,666667;3;3;4,4;45498,37;44633,31;0;0;0;0;2;1;3;0;1;1;0,0;45393,3;0,0;0,0;30332,246667;9078,66;0,0;66,666667;0,0;0,837306;0,837306
ADMIRAL;RIMINI ITALIA;E5817;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | ESITO FINALE 1X2 | 2;1,466094;1,45;1,48;0,682145;64;64;125,2;803131,65;49785,98;0;0;0;0;59;5;64;0;1;1;0,0;791149,69;0,0;0,0;547852,125486;158229,938;0,0;92,1875;0,0;1,906039;0,268834
ADMIRAL;WWW.ADMIRALBET.IT;E5817;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | ESITO FINALE 1X2 | 2;1,464211;1,45;1,48;0,68302;190;190;672,35;669756,99;49015,32;0;0;0;0;110;80;190;0;1;1;0,0;326271,01;0,0;0,0;457457,614908;65254,202;0,0;57,894737;0,0;1,704836;0,224189
ADMIRAL;WWW.ADMIRALBET.IT;E5957;CALCIO | ITALIA - I DIVISIONE | Inter - AC Monza | ESITO FINALE 1X2 | 1;1,220409;1,18;1,23;0,819441;171;171;1570,45;555938,21;49015,32;0;0;0;0;99;72;171;0;1;1;0,0;265231,69;0,0;0,0;455558,589112;53046,338;0,0;57,894737;0,0;1,415116;0,18609
ADMIRAL;RIMINI ITALIA;E5957;CALCIO | ITALIA - I DIVISIONE | Inter - AC Monza | ESITO FINALE 1X2 | 1;1,221571;1,2;1,23;0,818639;70;70;190,5;538661,28;49785,98;0;0;0;0;61;9;70;0;1;1;0,0;516764,98;0,0;0,0;440969,245246;103352,996;0,0;87,142857;0,0;1,278383;0,180307
ADMIRAL;RIMINI ITALIA;E3122;CALCIO | FRANCIA - I DIVISIONE | Paris Saint-Germain - Stade Rennes FC | ESITO FINALE 1X2 | 1;1,401277;1,38;1,42;0,713712;47;47;75,3;525779,06;49785,98;0;0;0;0;43;4;47;0;1;1;0,0;517484,51;0,0;0,0;375254,725318;103496,902;0,0;91,489362;0,0;1,24781;0,175995
