concessionario;nome_commerciale;id_evento;evento_descrizione;quota_media;quota_min;quota_max;prob_implicita_media;num_ticket_coinvolti;num_righe_evento;importo_pagato_esposto;payout_potenziale_esposto;payout_potenziale_massimo_ticket;ticket_esclusi_montecarlo;ticket_incompatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_compatibili;righe_esito_mappato;righe_esito_non_mappato;num_famiglie_matrice;num_esiti_matrice;payout_incompatibile;payout_non_mappato;payout_misto;payout_correlato;impatto_atteso_stimato;impatto_compatibilita_stimato;pct_ticket_esclusi_montecarlo;pct_ticket_non_mappati;pct_righe_esito_non_mappato;peso_pct_su_nome_commerciale;peso_pct_su_concessionario
360BET;360BET.IT;E828;CALCIO | Serie A | Napoli - Bologna FC | 1X2 | 1;1,782979;1,72;1,82;0,560986;47;47;1617,15;90136,45;19780,78;0;0;0;0;30;17;47;0;1;1;0,0;75689,19;0,0;0,0;50565,305113;15137,838;0,0;63,829787;0,0;2,621846;2,621846
360BET;360BET.IT;E797;CALCIO | Serie A | Lazio - Milan | 1X2 | 2;2,305714;2,28;2,37;0,433737;21;21;339,4;81325,21;50000,0;0;0;0;0;7;14;21;0;1;1;0,0;19289,5;0,0;0,0;35273,74878;3857,9;0,0;33,333333;0,0;2,365549;2,365549
360BET;360BET.IT;E851;CALCIO | Serie A | Sassuolo Calcio - Juventus | 1X2 | 2;1,653651;1,59;1,66;0,604753;63;63;841,9;68332,13;19780,78;0;0;0;0;50;13;63;0;1;1;0,0;55948,14;0,0;0,0;41324,063833;11189,628;0,0;79,365079;0,0;1,987612;1,987612
360BET;360BET.IT;E817;CALCIO | Serie A | Lecce - AC Monza | 1X2 | X;3,109375;3,1;3,15;0,321621;16;16;363,65;58634,62;50000,0;0;0;0;0;5;11;16;0;1;1;0,0;2767,67;0,0;0,0;18858,10071;553,534;0,0;31,25;0,0;1,705536;1,705536
360BET;360BET.IT;E780;CALCIO | Serie A | Inter - Udinese | 1X2 | 1;1,2688;1,24;1,31;0,788294;50;50;3153,65;58179,74;19780,78;0;0;0;0;32;18;50;0;1;1;0,0;42822,73;0,0;0,0;45862,756489;8564,546;0,0;64,0;0,0;1,692304;1,692304
360BET;360BET.IT;E850;CALCIO | Serie A | Sassuolo Calcio - Juventus | 1X2 | 1;5,1;5,0;5,2;0,196154;6;6;11,9;57802,52;50000,0;0;0;0;0;3;3;6;0;1;1;0,0;1781,33;0,0;0,0;11338,186615;356,266;0,0;50,0;0,0;1,681332;1,681332
360BET;360BET.IT;E719;CALCIO | Serie A | Atalanta - Cagliari Calcio | 1X2 | 1;1,5866;1,56;1,63;0,63036;50;50;798,75;57687,03;19780,78;0;0;0;0;31;19;50;0;1;1;0,0;43519,02;0,0;0,0;36363,584061;8703,804;0,0;62,0;0,0;1,677973;1,677973
360BET;360BET.IT;E742;CALCIO | Serie A | Como - Parma Calcio | 1X2 | 1;1,240784;1,22;1,27;0,806048;51;51;2854,75;57507,14;19780,78;0;0;0;0;31;20;51;0;1;1;0,0;40216,17;0,0;0,0;46353,52216;8043,234;0,0;60,784314;0,0;1,67274;1,67274
360BET;360BET.IT;E829;CALCIO | Serie A | Napoli - Bologna FC | 1X2 | 2;4,825;4,8;4,9;0,20727;4;4;8,4;56432,31;50000,0;0;0;0;0;1;3;4;0;1;1;0,0;411,12;0,0;0,0;11696,747927;82,224;0,0;25,0;0,0;1,641476;1,641476
360BET;360BET.IT;E895;CALCIO | Serie A | Venezia - Fiorentina | 1X2 | 2;2,516774;2,33;2,65;0,397857;31;31;351,5;54170,93;19780,78;0;0;0;0;14;17;31;0;1;1;0,0;43378,67;0,0;0,0;21552,26444;8675,734;0,0;45,16129;0,0;1,575698;1,575698
360BET;360BET.IT;E878;CALCIO | Serie A | Torino - Roma | 1X2 | 2;1,586522;1,57;1,61;0,630343;23;23;648,6;53223,39;19780,78;0;0;0;0;16;7;23;0;1;1;0,0;45612,51;0,0;0,0;33549,015312;9122,502;0,0;69,565217;0,0;1,548136;1,548136
360BET;360BET.IT;E760;CALCIO | Serie A | Genoa - Frosinone Calcio | 1X2 | 1;2,166667;2,06;2,19;0,461626;36;36;563,2;52660,79;19780,78;0;0;0;0;13;23;36;0;1;1;0,0;40598,32;0,0;0,0;24309,580274;8119,664;0,0;36,111111;0,0;1,531772;1,531772
360BET;360BET.IT;E937;CALCIO | Serie B | US Catanzaro 1929 - Carrarese Calcio 1908 | 1X2 | 1;2,042;2,03;2,06;0,489741;5;5;51,4;51458,34;50000,0;0;0;0;0;2;3;5;0;1;1;0,0;1147,35;0,0;0,0;25201,272256;229,47;0,0;40,0;0,0;1,496795;1,496795
360BET;360BET.IT;E907;CALCIO | Serie B | Avellino - Palermo FC | 1X2 | 2;2,116667;2,05;2,35;0,473555;6;6;55,4;50463,14;50000,0;0;0;0;0;1;5;6;0;1;1;0,0;49,82;0,0;0,0;23897,051248;9,964;0,0;16,666667;0,0;1,467848;1,467848
360BET;360BET.IT;E505;CALCIO | ITALIA - III DIVISIONE | Altamura - SSC Bari | 1X2 | 2;1,93;1,9;1,99;0,518381;3;3;30,4;50310,99;50000,0;0;0;0;0;0;3;3;0;1;1;0,0;0,0;0,0;0,0;26080,280455;0,0;0,0;0,0;0,0;1,463422;1,463422
360BET;360BET.IT;E551;CALCIO | ITALIA - III DIVISIONE | US Salernitana - Potenza | 1X2 | 1;2,02;1,98;2,07;0,495218;3;3;30,4;50310,99;50000,0;0;0;0;0;0;3;3;0;1;1;0,0;0,0;0,0;0,0;24914,920093;0,0;0,0;0,0;0,0;1,463422;1,463422
360BET;360BET.IT;E926;CALCIO | Serie B | Mantova 1911 - Sampdoria | 1X2 | X;3,25;3,25;3,25;0,307692;2;2;8,4;50013,0;50000,0;0;0;0;0;0;2;2;0;1;1;0,0;0,0;0,0;0,0;15388,615385;0,0;0,0;0,0;0,0;1,454754;1,454754
360BET;360BET.IT;E935;CALCIO | Serie B | Pisa - Virtus Entella | 1X2 | 1;1,78;1,78;1,78;0,561798;1;1;4,4;50000,0;50000,0;0;0;0;0;0;1;1;0;1;1;0,0;0,0;0,0;0,0;28089,88764;0,0;0,0;0,0;0,0;1,454376;1,454376
360BET;360BET.IT;E911;CALCIO | Serie B | Benevento - Hellas Verona | 1X2 | 2;2,5;2,5;2,5;0,4;1;1;4,4;50000,0;50000,0;0;0;0;0;0;1;1;0;1;1;0,0;0,0;0,0;0,0;20000,0;0,0;0,0;0,0;0,0;1,454376;1,454376
360BET;360BET.IT;E185;CALCIO | EUROPA - CHAMPIONS LEAGUE | Manchester United - Sabah Masazir | 1X2 | 1;1,103636;1,07;1,14;0,906481;11;11;1253,0;39748,47;19780,78;0;0;0;0;6;5;11;0;1;1;0,0;37394,61;0,0;0,0;36031,238102;7478,922;0,0;54,545455;0,0;1,156184;1,156184
ADMIRAL;AFRAGOLA ITALIA;E1758;TENNIS | US OPEN | US Open - Maschile 2026 | VINCENTE | Fils A.;50,0;50,0;50,0;0,02;1;1;5,0;250,0;250,0;0;0;0;0;1;0;0;1;0;0;0,0;250,0;0,0;0,0;5,0;50,0;0,0;100,0;100,0;100,0;0,001936
ADMIRAL;ANCONA FLAMINIA;E1402;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE | Milan;6,944444;6,0;7,5;0,145136;9;9;34,5;41225,1;40408,24;0;0;0;0;9;0;0;9;0;0;0,0;41225,1;0,0;0,0;5983,260342;8245,02;0,0;100,0;100,0;14,140969;0,319219
ADMIRAL;ANCONA FLAMINIA;E1545;CALCIO | NORVEGIA - I DIVISIONE | Eliteserien 2026 | VINCENTE | Bodo/Glimt;2,15;2,15;2,15;0,465116;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;18794,530233;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1157;CALCIO | BRASILE - COPPA | Copa do Brasil 2026 | VINCENTE | Palmeiras;3,75;3,75;3,75;0,266667;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;10775,530667;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1104;CALCIO | AMERICA - COPPA LIBERTADORES | Copa Libertadores 2026 | VINCENTE | Flamengo;4,5;4,5;4,5;0,222222;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;8979,608889;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1570;CALCIO | PALLONE D'ORO FIFA | Pallone D oro 2026 | VINCENTE | Ousmane Dembele;4,5;4,5;4,5;0,222222;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;8979,608889;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1213;CALCIO | EUROPA - UEFA NATIONS LEAGUE | Europa Nations League 2026/2027 | VINCENTE | Germania;5,5;5,5;5,5;0,181818;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;7346,952727;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1141;CALCIO | ARGENTINA - I DIVISIONE | Liga Profesional 2026 - Clausura | VINCENTE | River Plate;7,5;7,5;7,5;0,133333;1;1;1,0;40408,24;40408,24;0;0;0;0;1;0;0;1;0;0;0,0;40408,24;0,0;0,0;5387,765333;8081,648;0,0;100,0;100,0;13,860771;0,312894
ADMIRAL;ANCONA FLAMINIA;E1403;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE | Napoli;6,5;6,5;6,5;0,153846;4;4;104,5;973,67;650,0;0;0;0;0;4;0;0;4;0;0;0,0;973,67;0,0;0,0;149,795385;194,734;0,0;100,0;100,0;0,333987;0,007539
ADMIRAL;ANCONA FLAMINIA;E1400;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE | Juventus;6,083333;5,5;7,0;0,166306;6;6;126,0;812,22;550,0;0;0;0;0;6;0;0;6;0;0;0,0;812,22;0,0;0,0;135,076991;162,444;0,0;100,0;100,0;0,278606;0,006289
ADMIRAL;ANCONA FLAMINIA;E1397;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE | Como;35,0;35,0;35,0;0,028571;1;1;20,0;700,0;700,0;0;0;0;0;1;0;0;1;0;0;0,0;700,0;0,0;0,0;20,0;140,0;0,0;100,0;100,0;0,240113;0,00542
