concessionario;nome_commerciale;num_ticket;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale;payout_potenziale_totale;pct_incompatibili;pct_non_mappati;pct_correlati_misti
ADMIRAL;WWW.ADMIRALBET.IT;3134;430;2;1;2696;5;5;66078,5;3292121,66;0,1595;86,0243;0,0957
BBET;WWW.BBET.EU;2232;345;0;2;1884;1;1;29244,8;2978516,9;0,0448;84,4086;0,0896
BBET;WWW.BGAME.IT;1097;140;0;1;955;1;1;18117,8;901238,76;0,0912;87,0556;0,0912
ADMIRAL;GROSSETO AQUILEIA;98;9;0;0;88;1;1;1066,4;80785,02;1,0204;89,7959;0,0
DOMUSBET;WWW.DOMUSBET.IT;15058;1388;9;26;13635;0;0;264541,65;10126969,08;0,0;90,5499;0,2324
WILLIAMHILL;WWW.WILLIAMHILL.IT;11800;1789;0;1;10010;0;0;279055,15;7358635,56;0,0;84,8305;0,0085
STARCASINO;WWW.BETSSON.IT;9139;1123;2;8;8006;0;0;222226,7;5397862,31;0,0;87,6026;0,1094
STANLEYBET;WWW.STANLEYBET.IT;7559;1216;2;7;6334;0;0;192284,95;6378174,53;0,0;83,7942;0,1191
SPORTBET;SPORTBET.IT;5366;536;2;6;4822;0;0;90213,8;5082293,55;0,0;89,8621;0,1491
MARATHON;WWW.MARATHONBET_PVR.IT;3152;442;0;12;2698;0;0;58352,85;4481018,87;0,0;85,5964;0,3807
MARATHON;WWW.MARATHONBET_TIPSTER.IT;2107;80;1;0;2026;0;0;38572,4;459383,87;0,0;96,1557;0,0475
STARCASINO;WWW.STARCASINO.IT;2332;394;0;2;1936;0;0;56676,65;1429260,06;0,0;83,0189;0,0858
SPORTBET;WWW.VSTART.IT;1231;80;0;1;1150;0;0;23846,75;786572,86;0,0;93,42;0,0812
MARATHON;MARATHONBET.IT;1131;97;0;0;1034;0;0;27268,25;396744,37;0,0;91,4235;0,0
360BET;360BET.IT;1103;268;0;1;834;0;0;49872,35;1073492,76;0,0;75,612;0,0907
TOTOSI;WWW.TOTOSI.IT;979;184;0;0;795;0;0;16384,35;1286397,6;0,0;81,2053;0,0
BBET;WWW.ALLINBET.EU;943;153;1;1;788;0;0;11777,95;900103,4;0,0;83,5631;0,2121
BBET;WWW.TOPBET24.IT;772;104;0;1;667;0;0;17069,1;950342,49;0,0;86,399;0,1295
ADMIRAL;FUCECCHIO DANTE;494;55;0;0;439;0;0;4833,95;235017,43;0,0;88,8664;0,0
BBET;WWW.SPORTBULL.IT;425;38;0;0;387;0;0;4192,35;443251,29;0,0;91,0588;0,0
ADMIRAL;RIMINI ITALIA;392;44;0;0;348;0;0;8030,9;585435,66;0,0;88,7755;0,0
ADMIRAL;WWW.STARVEGAS.IT;385;61;0;0;324;0;0;7569,75;226124,16;0,0;84,1558;0,0
