des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
U/O;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;23250;3662;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | AUSTRIA - COPPA | FC Dornbirn 1913 - Ried | U/O | OVER
T/T;1;;;;NON_MAPPATO;famiglia non riconosciuta;5319;2602;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;BASKET | AUSTRALIA - NBL1 | Joondalup Wolves - Mandurah Magic | T/T | 1
GG/NG;GG;;;;NON_MAPPATO;famiglia non riconosciuta;4866;1222;ADMIRAL, DOMUSBET;CALCIO | IRLANDA - II DIVISIONE | UC Dublin - Cork City | GG/NG | GG
U/O;Over;;;;NON_MAPPATO;famiglia non riconosciuta;4699;879;STARCASINO, WILLIAMHILL;CALCIO | AUSTRIA - COPPA | SV Tillmitsch - SKN St. Polten | U/O | Over
GG/NG;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;4627;1419;360BET, BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | AUSTRIA - COPPA | Union Gurten - Blau Weiss Linz | GG/NG | GOAL
U/O INFO1;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;4362;700;ADMIRAL, DOMUSBET;PALLAMANO | AMICHEVOLI PER CLUB | Skive - Tth Holstebro | U/O INFO1 | OVER
1X;1X;;;;NON_MAPPATO;famiglia non riconosciuta;3990;1222;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | LIBANO - I DIVISIONE | Al Ahed FC - AL Ansar SC | 1X | 1X
X2;X2;;;;NON_MAPPATO;famiglia non riconosciuta;2597;1080;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | ECUADOR - II DIVISIONE | CD El Nacional - Gualaceo | X2 | X2
T/T (ESCL. RITIRO);2;;;;NON_MAPPATO;famiglia non riconosciuta;2438;1251;360BET, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;TENNIS | CHALLENGER DI FINLANDIA | Squire, Henri - Virtanen, Otto | T/T (ESCL. RITIRO) | 2
T/T;2;;;;NON_MAPPATO;famiglia non riconosciuta;2210;1885;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;BASKET | LIBANO - I DIVISIONE | Sagesse - AL Riyadi Beirut | T/T | 2
T/T (ESCL. RITIRO);1;;;;NON_MAPPATO;famiglia non riconosciuta;2025;1296;360BET, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;TENNIS | CHALLENGER DI SVIZZERA | Rehberg, Max Hans - Matusevich, Anton | T/T (ESCL. RITIRO) | 1
MULTIGOL INFO1-INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1944;264;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ROMANIA - I DIVISIONE | Champions FC Arges - Petrolul Ploiesti | MULTIGOL INFO1-INFO2 | SI
U/O;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;1739;646;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | GARA AMICHEVOLE | Bournemouth - St. Pauli | U/O | UNDER
DC 1X;1X;;;;NON_MAPPATO;famiglia non riconosciuta;1547;440;360BET, BBET, SPORTBET, TOTOSI;CALCIO | REP. CECA - COPPA | MFK Kravare - FK Bospor Bohumin | DC 1X | 1X
GG/NG;Goal;;;;NON_MAPPATO;famiglia non riconosciuta;1498;477;STARCASINO, WILLIAMHILL;CALCIO | LITUANIA - I DIVISIONE | FA Siauliai - FC Hegelmann Kaunas | GG/NG | Goal
U/O INFO1 SQUADRA INFO2;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1428;348;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | BRASILE - U20 I DIVISIONE | Sfera FC SP - Gremio Osasco Audax EC SP | U/O INFO1 SQUADRA INFO2 | OVER
OV 1°T + OV 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1347;286;360BET, BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | AUSTRALIA - NPL VICTORIA | Oakleigh Cannons - South Melbourne | OV 1°T + OV 2°T | SI
U/O INFO1 TEMPO INFO2;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1304;230;360BET, BBET, STANLEYBET, TOTOSI;CALCIO | ASIA - AFF CUP | Timor Est - Vietnam | U/O INFO1 TEMPO INFO2 | OVER
12;12;;;;NON_MAPPATO;famiglia non riconosciuta;1172;333;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | POLONIA - I DIVISIONE | MKS Pogon Szczecin - Legia Varsavia | 12 | 12
U/O INFO1 INFO2 TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1172;203;DOMUSBET;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Emmen - Twente | U/O INFO1 INFO2 TEMPO | OVER
GG O OV 2.5;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1053;204;BBET, DOMUSBET, SPORTBET, STANLEYBET;CALCIO | DANIMARCA - I DIVISIONE | Viborg - Odense Boldklub | GG O OV 2.5 | SI
DC X2;X2;;;;NON_MAPPATO;famiglia non riconosciuta;1001;437;360BET, BBET, SPORTBET, TOTOSI;CALCIO | AMERICA - CONCACAF CHAMPIONSHIP U20 | Guatemala - Costa Rica | DC X2 | X2
CAMBIO SQUADRA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;732;123;ADMIRAL, STANLEYBET;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA | SI
U/O INFO1 TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;703;238;SPORTBET;CALCIO | USA - III DIVISIONE | NEW YORK RED BULLS - Crown Legacy FC | U/O INFO1 TEMPO | OVER
INFO1 PIAZZATO TRA I PRIMI INFO3;SI;;;;NON_MAPPATO;famiglia non riconosciuta;671;645;360BET, ADMIRAL, DOMUSBET, MARATHON, SPORTBET, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring QUALIFICHE | INFO1 PIAZZATO TRA I PRIMI INFO3 | SI
U/O  INFO1 - INFO2° TEMPO;Over;;;;NON_MAPPATO;famiglia non riconosciuta;626;165;STARCASINO, WILLIAMHILL;CALCIO | FINLANDIA - III DIVISIONE | Nurmijarven Jalkapalloseura - Abo IFK Turku | U/O INFO1 - INFO2° TEMPO | Over
VINCENTE;Leclerc C.;;;;NON_MAPPATO;famiglia non riconosciuta;529;529;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Piloti 2026 | VINCENTE | Leclerc C.
ENTRAMBE LE AUTO INFO1 PIAZZATE TRA I PRIMI INFO3;SI;;;;NON_MAPPATO;famiglia non riconosciuta;524;524;DOMUSBET;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring GARA | ENTRAMBE LE AUTO INFO1 PIAZZATE TRA I PRIMI INFO3 | SI
U/O;Under;;;;NON_MAPPATO;famiglia non riconosciuta;496;175;STARCASINO, WILLIAMHILL;CALCIO | POLONIA - I DIVISIONE | MKS Pogon Szczecin - Legia Varsavia | U/O | Under
CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE);SI;;;;NON_MAPPATO;famiglia non riconosciuta;487;138;MARATHON, WILLIAMHILL;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE) | SI
1X + U/O INFO1;1X + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;486;164;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | SVEZIA - I DIVISIONE | Vasteraas SK - Orgryte IS | 1X + U/O INFO1 | 1X + OVER
1X + UNDER/OVER;1X + OV;;;;NON_MAPPATO;famiglia non riconosciuta;459;177;BBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ITALIA - I DIVISIONE | Atalanta - Sassuolo Calcio | 1X + UNDER/OVER | 1X + OV
U/O INFO1 INFO2 °T;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;406;70;ADMIRAL;CALCIO | GARA AMICHEVOLE | Bournemouth - St. Pauli | U/O INFO1 INFO2 °T | OVER
U/O + GG/NG;GG+OV;;;;NON_MAPPATO;famiglia non riconosciuta;386;108;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ISLANDA - I DIVISIONE | Vikingur Reykjavik - Keflavik IF | U/O + GG/NG | GG+OV
U/O TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;385;97;MARATHON;CALCIO | RUSSIA - CAMPIONATO U21 | CSKA Mosca Juniores - Ural Ekaterinburg | U/O TEMPO | OVER
CAMBIO SQUADRA SI/NO;SI;;;;NON_MAPPATO;famiglia non riconosciuta;370;158;360BET, BBET, DOMUSBET, SPORTBET;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO | SI
CASA SEGNA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;358;107;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | DANIMARCA - II DIVISIONE | Aalborg - Hillerod Fodbold | CASA SEGNA | SI
DC 12;12;;;;NON_MAPPATO;famiglia non riconosciuta;344;141;360BET, BBET, SPORTBET, TOTOSI;CALCIO | GARA AMICHEVOLE | Cremonese - Giana Erminio | DC 12 | 12
MULTIGOL INFO1/INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;332;56;ADMIRAL;CALCIO | GARA AMICHEVOLE | Eintracht Braunschweig - Southampton | MULTIGOL INFO1/INFO2 | SI
GG/NG+U/O INFO1;GG+OV;;;;NON_MAPPATO;famiglia non riconosciuta;307;85;ADMIRAL;CALCIO | COREA DEL SUD - II DIVISIONE | Daegu - Suwon | GG/NG+U/O INFO1 | GG+OV
GG/NG TEMPO INFO1;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;295;131;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | SVIZZERA - II DIVISIONE | Neuchatel Xamax FCS - Kriens | GG/NG TEMPO INFO1 | GOAL
OV INFO1 1°T + OV INFO2 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;288;51;DOMUSBET;CALCIO | FRANCIA - I DIVISIONE | Le Havre - Monaco | OV INFO1 1°T + OV INFO2 2°T | SI
T/T (ESCLUSO RITIRO);2;;;;NON_MAPPATO;famiglia non riconosciuta;275;133;ADMIRAL;TENNIS | TORNEO DI ESTORIL | Torres, Tiago - Gaston, Hugo | T/T (ESCLUSO RITIRO) | 2
CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE);Si;;;;NON_MAPPATO;famiglia non riconosciuta;271;78;STARCASINO;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE) | Si
D.C. IN+U/O INFO1;1X+OV;;;;NON_MAPPATO;famiglia non riconosciuta;262;92;ADMIRAL;CALCIO | IRLANDA - I DIVISIONE | St Patricks - Dundalk | D.C. IN+U/O INFO1 | 1X+OV
OSPITE SEGNA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;257;101;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Anversa - Olympiakos | OSPITE SEGNA | SI
X2 + U/O INFO1;X2 + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;239;100;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | REP. CECA - COPPA | Tatran Vsechovice - TJ Unie Hlubina | X2 + U/O INFO1 | X2 + OVER
GG/NG;NG;;;;NON_MAPPATO;famiglia non riconosciuta;230;110;ADMIRAL, DOMUSBET;CALCIO | MONDO - MONDIALI | Spagna - Austria | GG/NG | NG
G2 VINCE ALMENO 1 SET;SI;;;;NON_MAPPATO;famiglia non riconosciuta;225;151;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, WILLIAMHILL;TENNIS | TORNEO DI ESTORIL | Burruchaga, Roman Andres - Blockx, Alexander | G2 VINCE ALMENO 1 SET | SI
U/O INFO1;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;223;74;DOMUSBET;CALCIO | GEORGIA - COPPA | FC Margveti 2006 - Iberia | U/O INFO1 | UNDER
