concessionario;nome_commerciale;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita;num_ticket_compat;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale_compat;payout_potenziale_totale_compat;pct_incompatibili;pct_non_mappati;pct_correlati_misti;tail_ratio_p99_medio;tail_spread_p99_p95;tail_spread_p95_mediana;max_ratio_payout_medio;ticket_win_ratio_max_medio;compat_risk_score;cluster;cluster_label;risk_score_montecarlo;risk_score_commerciale
DOMUSBET;WWW.DOMUSBET.IT;1263072,5080799998;1237424,405;1459862,617;1557458,5139999993;1828231,674;2287374,16;4808,578;7003;0;20101;1446;6;41;18608;0;0;300502,7;25688238,24;0,0;92,5725;0,2338;1,4474479195015497;270773,16000000085;320034,10899999924;1,8109602935440692;1,456355704326726;201991,57;2;EXTREME;1613291,8748919503;1815283,4448919503
STANLEYBET;WWW.STANLEYBET.IT;1086887,3431900002;1097450,15;1323737,788;1402305,085;1514037,9611;1701089,98;1648,964;3041;0;8513;1724;1;2;6786;0;0;206754,25;9489781,22;0,0;79,7134;0,0352;1,3930035809013273;111732,8761;304854,93500000006;1,5651023913916626;1,8441882297005878;54693,013999999996;1;RISKY;1311753,75204809;1366446,76604809
WILLIAMHILL;WWW.WILLIAMHILL.IT;1098443,07325;1089072,135;1284600,734;1337770,342;1435226,2196;1601836,97;3096,352;4901;0;12155;1797;0;7;10351;0;0;260681,8;12093187,69;0,0;85,1584;0,0576;1,30660045527307;97455,8776;248698,20699999994;1,4582794584525822;1,5828303758745776;88985,524;1;RISKY;1253536,1273855274;1342521,6513855273
STARCASINO;WWW.BETSSON.IT;843720,3517100001;847132,35;1003965,721;1053941,044;1171563,7439;1574506,99;2964,532;4218;0;11105;1640;1;8;9456;0;0;240056,75;12510141,38;0,0;85,1508;0,081;1,3885687852918887;117622,69989999989;206808,69400000002;1,8661479325571404;1,422821544850924;83773,533;1;RISKY;1068241,0134385293;1152014,5464385294
SPORTBET;SPORTBET.IT;429827,47561;433010,2;571140,463;612602,7674999998;689067,9853;853967,32;980,33;1393;0;5583;484;1;9;5089;0;0;92372,2;8356261,92;0,0;91,1517;0,1791;1,6031268925330855;76465,2178000001;179592,56749999983;1,986767641570776;1,420950088235594;52583,4945;1;RISKY;606696,6626842533;659280,1571842533
MARATHON;WWW.MARATHONBET_PVR.IT;229567,84105;228759,82;305806,17000000004;329815,3599999999;377795,5622;505292,52;505,068;801;0;3094;390;0;9;2695;0;0;46927,35;5856570,83;0,0;87,1041;0,2909;1,645681557451751;47980,20220000006;101055,53999999992;2,201059685402308;1,5859250635557984;34590,8135;0;SAFE;338800,13703574514;373390,9505357451
SPORTBET;WWW.VSTART.IT;149409,25833;148684,96000000002;199793,824;208714,629;235324,1975;711955,77;517,69;700;0;2231;130;0;1;2100;0;0;30082,3;3429292,17;0,0;94,1282;0,0448;1,5750308925317051;26609,568500000023;60029,668999999965;4,765138238137187;1,3521605594081398;18192,402;0;SAFE;292356,9933392532;310549,3953392532
BBET;WWW.BBET.EU;129872,3007;125813,73;198448,36;212843,0485;247251,3951;296243,52;305,672;477;0;2332;297;0;0;2035;0;0;24370,55;5331098,17;0,0;87,2642;0,0;1,9038039194450027;34408,34659999999;87029,31850000001;2,281036975577349;1,5604962181684943;16135,142;0;SAFE;213935,4045569445;230070,5465569445
STARCASINO;WWW.STARCASINO.IT;124681,86817;121169,575;155221,119;170966,7915;204017,9011;256820,96;592,976;834;0;2555;522;0;1;2032;0;0;48608,45;3211676,58;0,0;79,5303;0,0391;1,6363077013076808;33051,109599999996;49797,216499999995;2,059810009020977;1,4064650171339144;17536,2805;0;SAFE;180046,68108513078;197582,96158513078
MARATHON;WWW.MARATHONBET_TIPSTER.IT;95385,01939;90748,72;124615,791;141036,5595;177650,94209999996;208336,37;717,367;1183;0;2351;108;1;0;2242;0;0;40491,9;968837,18;0,0;95,3637;0,0425;1,8624616657427087;36614,38259999995;50287,8395;2,184162369859953;1,6490861720709205;17769,6995;0;SAFE;154088,03688157425;171857,73638157424
MARATHON;MARATHONBET.IT;57576,80558;58807,315;84028,62500000001;116301,719;154031,0815;174630,18;323,029;421;0;885;113;0;1;771;0;0;20660,85;648983,8;0,0;87,1186;0,113;2,6752279837057262;37729,3625;57494,403999999995;3,03299528761387;1,3032885592315242;8156,5109999999995;0;SAFE;127986,42114837057;136142,93214837057
BBET;WWW.ALLINBET.EU;56709,05459;41168,77;104471,09;109719,732;129045,4873;172320,18;96,193;180;0;870;122;0;2;746;0;0;9357,6;1298958,69;0,0;85,7471;0,2299;2,2755711276265167;19325,75529999999;68550,962;3,038671359377356;1,8712380318734212;9458,218499999999;0;SAFE;114639,72103276264;124097,93953276264
TOTOSI;WWW.TOTOSI.IT;40850,09438;34548,325;70837,352;89334,1935;121081,5644;150314,68;195,246;334;0;1070;178;0;1;891;0;0;15651,9;2125888,72;0,0;83,271;0,0935;2,9640461359443253;31747,37090000001;54785,8685;3,6796654274951517;1,710662446349733;9017,547499999999;0;SAFE;102795,51474859445;111813,06224859445
360BET;360BET.IT;56256,09087;53237,53;84978,713;95017,216;114526,2366;140678,84;433,206;514;0;1243;345;0;0;898;0;0;41996,25;878720,19;0,0;72,2446;0,0;2,035801543065874;19509,020600000003;41779,686;2,5006863758999756;1,1865024953486332;7457,446;0;SAFE;100474,1467943066;107931,59279430659
BBET;WWW.TOPBET24.IT;54211,03989;53214,145;84789,011;92215,478;109341,8247;137750,89;103,226;183;0;913;97;0;0;816;0;0;16740,9;1926138,61;0,0;89,3757;0,0;2,016966007696334;17126,346699999995;39001,333000000006;2,5410117621707924;1,772809175982795;7013,757;0;SAFE;95457,47398076963;102471,23098076963
ADMIRAL;BOVOLONE MADONNA;14041,333;988,72;43285,567;72992,11449999998;116527,8461;118757,3;6,793;15;0;59;8;0;0;51;0;0;554,5;467880,54;0,0;86,4407;0,0;8,298916214009026;43535,731600000014;72003,39449999998;8,457694151972609;2,208155454143972;1246,9070000000002;0;SAFE;89515,51868640092;90762,42568640092
ADMIRAL;MONTEMURLO LABRIOLA;43868,14516000001;56177,83;71833,93500000001;75566,60200000001;85658,1066;108606,63;29,549;61;0;256;16;0;0;240;0;0;8174,2;760382,29;0,0;93,75;0,0;1,9526265878709876;10091,504599999986;19388,77200000001;2,4757515870315405;2,064367660496125;2737,5;0;SAFE;75376,4817987871;78113,9817987871
ADMIRAL;FAENZA MENGOLINA;32109,79247;30876,76;43807,585;47312,672;55193,97929999999;121323,3;69,88;115;0;346;24;0;0;322;0;0;9107,8;574932,8;0,0;93,0636;0,0;1,718914233144528;7881,307299999993;16435,912;3,7783894154205973;1,6456783056668576;3345,636;0;SAFE;58917,31114331445;62262,94714331445
ADMIRAL;MISANO ADRIATICO ADRIATICA;11094,87147;8826,810000000001;15701,504;20016,449499999995;61792,66849999999;139140,25;23,85;48;0;204;5;0;0;199;0;0;6175,95;804664,17;0,0;97,549;0,0;5,569480337567173;41776,219;11189,639499999994;12,540951950297806;2,0125786163522013;2467,99;0;SAFE;58346,177808756715;60814,16780875671
ADMIRAL;ROMA GAI;14921,697789999998;11284,35;29700,81400000001;36782,93299999999;59996,1232;104442,72;40,702;82;0;340;40;0;0;300;0;0;7642,25;689199,06;0,0;88,2353;0,0;4,020730351489045;23213,190200000012;25498,58299999999;6,999385825250654;2,014643015085254;3132,353;0;SAFE;54894,799565148904;58027,15256514891
ADMIRAL;FERRARA MODENA;6491,200360000001;1000,01;45562,458;47068,27849999999;51874,5337;101413,44;6,898;20;0;87;18;0;0;69;0;0;565,85;402543,52;0,0;79,3103;0,0;7,991516333351941;4806,255200000007;46068,26849999999;15,623218260975076;2,899391127863149;1310,603;0;SAFE;53698,7227383352;55009,3257383352
ADMIRAL;ANCONA FLAMINIA;43765,91914;42624,275;49638,723;50861,7275;52744,88;91765,53;32,773;57;0;187;3;0;0;184;0;0;2402,9;252203,84;0,0;98,3957;0,0;1,2051587407836168;1883,1524999999965;8237,4525;2,0967348979112517;1,7392365666859912;2363,9570000000003;0;SAFE;52572,00574907836;54935,96274907836
ADMIRAL;GENOVA P. DORIA;8327,05286;5926,625;17956,982;24141,7745;33515,13119999999;151661,17;26,067;62;0;382;33;0;0;349;0;0;1992,85;1920815,61;0,0;91,3613;0,0;4,024849098892353;9373,35669999999;18215,1495;18,213066801643915;2,378486208616258;3531,1130000000003;0;SAFE;50486,21501488924;54017,32801488924
